metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.22226,0.49527,0.28523,0.22675,0.81393,3.73132,1.17663,1,1763542332,,False,1,35bf4_00008,2025-11-19_03-52-12,168.71354413032532,168.71354413032532,10184,LAPTOP-2DUVSE15,127.0.0.1,168.71354413032532,1
0.32197,0.46443,0.36549,0.29293,0.74302,2.85964,1.08523,2,1763542456,,False,2,35bf4_00008,2025-11-19_03-54-16,124.07904553413391,292.79258966445923,10184,LAPTOP-2DUVSE15,127.0.0.1,292.79258966445923,2
0.64403,0.48096,0.51053,0.4192,0.74789,2.24769,1.08529,3,1763542580,,False,3,35bf4_00008,2025-11-19_03-56-20,123.49793553352356,416.2905251979828,10184,LAPTOP-2DUVSE15,127.0.0.1,416.2905251979828,3
0.56787,0.53238,0.5646,0.45616,0.80072,2.062,1.1365,4,1763542704,,False,4,35bf4_00008,2025-11-19_03-58-24,124.0179054737091,540.3084306716919,10184,LAPTOP-2DUVSE15,127.0.0.1,540.3084306716919,4
0.70473,0.64007,0.73685,0.596,0.76187,1.47009,1.08595,5,1763542824,,False,5,35bf4_00008,2025-11-19_04-00-24,119.83366632461548,660.1420969963074,10184,LAPTOP-2DUVSE15,127.0.0.1,660.1420969963074,5
0.81946,0.65636,0.77169,0.64339,0.71496,1.26987,1.05655,6,1763542945,,False,6,35bf4_00008,2025-11-19_04-02-25,121.68737411499023,781.8294711112976,10184,LAPTOP-2DUVSE15,127.0.0.1,781.8294711112976,6
0.7776,0.7424,0.79673,0.66101,0.73321,1.08024,1.07367,7,1763543067,,False,7,35bf4_00008,2025-11-19_04-04-27,121.72828459739685,903.5577557086945,10184,LAPTOP-2DUVSE15,127.0.0.1,903.5577557086945,7
0.8393,0.72558,0.81728,0.68981,0.67771,0.96991,1.01897,8,1763543189,,False,8,35bf4_00008,2025-11-19_04-06-29,121.82417106628418,1025.3819267749786,10184,LAPTOP-2DUVSE15,127.0.0.1,1025.3819267749786,8
0.81251,0.76437,0.83269,0.6982,0.69423,0.89784,1.04114,9,1763543311,,False,9,35bf4_00008,2025-11-19_04-08-31,122.17479920387268,1147.5567259788513,10184,LAPTOP-2DUVSE15,127.0.0.1,1147.5567259788513,9
0.87656,0.80562,0.8693,0.73552,0.6802,0.77731,1.02656,10,1763543433,,False,10,35bf4_00008,2025-11-19_04-10-33,121.83122539520264,1269.387951374054,10184,LAPTOP-2DUVSE15,127.0.0.1,1269.387951374054,10
