metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.93359,0.84832,0.92111,0.78336,0.6276,0.50804,0.98553,23,1763392795,,False,23,35bf4_00009,2025-11-17_10-19-55,90.19679045677185,2111.693183898926,20324,LAPTOP-2DUVSE15,127.0.0.1,2111.693183898926,23
0.92356,0.83788,0.90945,0.7776,0.6135,0.53121,0.9804,24,1763392885,,False,24,35bf4_00009,2025-11-17_10-21-25,90.55440187454224,2202.247585773468,20324,LAPTOP-2DUVSE15,127.0.0.1,2202.247585773468,24
0.93933,0.85443,0.92199,0.78906,0.61176,0.50359,0.97642,25,1763392976,,False,25,35bf4_00009,2025-11-17_10-22-56,90.87696719169617,2293.124552965164,20324,LAPTOP-2DUVSE15,127.0.0.1,2293.124552965164,25
0.9335,0.85973,0.92895,0.78802,0.61965,0.48962,0.98016,26,1763393067,,False,26,35bf4_00009,2025-11-17_10-24-27,90.47995638847351,2383.6045093536377,20324,LAPTOP-2DUVSE15,127.0.0.1,2383.6045093536377,26
0.95857,0.84895,0.93744,0.80093,0.60594,0.47063,0.97642,27,1763393158,,False,27,35bf4_00009,2025-11-17_10-25-58,90.76298141479492,2474.3674907684326,20324,LAPTOP-2DUVSE15,127.0.0.1,2474.3674907684326,27
0.93855,0.84033,0.93264,0.79348,0.6138,0.48258,0.97513,28,1763393248,,False,28,35bf4_00009,2025-11-17_10-27-28,90.42851209640503,2564.7960028648376,20324,LAPTOP-2DUVSE15,127.0.0.1,2564.7960028648376,28
0.95196,0.85681,0.93633,0.79888,0.61053,0.47755,0.97223,29,1763393338,,False,29,35bf4_00009,2025-11-17_10-28-58,90.38674283027649,2655.182745695114,20324,LAPTOP-2DUVSE15,127.0.0.1,2655.182745695114,29
0.93757,0.86623,0.93314,0.79485,0.62754,0.46588,0.98398,30,1763393429,,False,30,35bf4_00009,2025-11-17_10-30-29,90.75012111663818,2745.9328668117523,20324,LAPTOP-2DUVSE15,127.0.0.1,2745.9328668117523,30
0.94121,0.87456,0.93762,0.80405,0.61445,0.45521,0.96896,31,1763393520,,False,31,35bf4_00009,2025-11-17_10-32-00,90.50202369689941,2836.4348905086517,20324,LAPTOP-2DUVSE15,127.0.0.1,2836.4348905086517,31
0.9436,0.84662,0.93075,0.79274,0.61352,0.45733,0.97378,32,1763393610,,False,32,35bf4_00009,2025-11-17_10-33-30,90.41590404510498,2926.8507945537567,20324,LAPTOP-2DUVSE15,127.0.0.1,2926.8507945537567,32
