metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.17284,0.44357,0.20535,0.1614,0.84091,3.86336,1.18843,1,1763203393,,False,1,35bf4_00002,2025-11-15_05-43-13,134.54668498039246,134.54668498039246,22004,LAPTOP-2DUVSE15,127.0.0.1,134.54668498039246,1
0.22424,0.44882,0.24309,0.17692,0.92891,3.49034,1.25964,2,1763203482,,False,2,35bf4_00002,2025-11-15_05-44-42,89.82641410827637,224.37309908866882,22004,LAPTOP-2DUVSE15,127.0.0.1,224.37309908866882,2
0.3045,0.51878,0.34701,0.26653,0.89872,3.25435,1.21064,3,1763203571,,False,3,35bf4_00002,2025-11-15_05-46-11,88.92431950569153,313.29741859436035,22004,LAPTOP-2DUVSE15,127.0.0.1,313.29741859436035,3
0.30909,0.53165,0.36982,0.28251,0.90398,2.82281,1.2795,4,1763203660,,False,4,35bf4_00002,2025-11-15_05-47-40,88.93834090232849,402.23575949668884,22004,LAPTOP-2DUVSE15,127.0.0.1,402.23575949668884,4
0.4362,0.52373,0.51408,0.41319,0.85159,2.10331,1.18162,5,1763203749,,False,5,35bf4_00002,2025-11-15_05-49-09,88.65775060653687,490.8935101032257,22004,LAPTOP-2DUVSE15,127.0.0.1,490.8935101032257,5
0.55918,0.5984,0.5794,0.46262,0.83048,1.705,1.17711,6,1763203838,,False,6,35bf4_00002,2025-11-15_05-50-38,88.85637593269348,579.7498860359192,22004,LAPTOP-2DUVSE15,127.0.0.1,579.7498860359192,6
0.67337,0.58811,0.62018,0.51324,0.77352,1.4814,1.13066,7,1763203926,,False,7,35bf4_00002,2025-11-15_05-52-06,88.6256217956543,668.3755078315735,22004,LAPTOP-2DUVSE15,127.0.0.1,668.3755078315735,7
0.67303,0.6308,0.6885,0.57097,0.77672,1.28797,1.11833,8,1763204016,,False,8,35bf4_00002,2025-11-15_05-53-36,89.1260154247284,757.5015232563019,22004,LAPTOP-2DUVSE15,127.0.0.1,757.5015232563019,8
0.78708,0.64175,0.74668,0.61512,0.78042,1.19645,1.13481,9,1763204105,,False,9,35bf4_00002,2025-11-15_05-55-05,88.98392987251282,846.4854531288147,22004,LAPTOP-2DUVSE15,127.0.0.1,846.4854531288147,9
0.75147,0.66896,0.75208,0.62711,0.75812,1.07544,1.1108,10,1763204193,,True,10,35bf4_00002,2025-11-15_05-56-33,88.89374613761902,935.3791992664337,22004,LAPTOP-2DUVSE15,127.0.0.1,935.3791992664337,10
