metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.2193,0.46271,0.27286,0.21783,0.84633,3.55548,1.16312,1,1763186929,,False,1,35bf4_00000,2025-11-15_01-08-49,144.6109218597412,144.6109218597412,22036,LAPTOP-2DUVSE15,127.0.0.1,144.6109218597412,1
0.31757,0.54582,0.38616,0.30802,0.7714,2.9176,1.12292,2,1763187021,,False,2,35bf4_00000,2025-11-15_01-10-21,92.0396420955658,236.650563955307,22036,LAPTOP-2DUVSE15,127.0.0.1,236.650563955307,2
0.40233,0.4471,0.48294,0.39187,0.77426,2.29477,1.09394,3,1763187113,,False,3,35bf4_00000,2025-11-15_01-11-53,92.55729866027832,329.2078626155853,22036,LAPTOP-2DUVSE15,127.0.0.1,329.2078626155853,3
0.50379,0.54754,0.56351,0.4617,0.7854,1.92639,1.11002,4,1763187207,,False,4,35bf4_00000,2025-11-15_01-13-27,93.81977701187134,423.02763962745667,22036,LAPTOP-2DUVSE15,127.0.0.1,423.02763962745667,4
0.79996,0.58843,0.71057,0.59142,0.73028,1.5175,1.08025,5,1763187301,,False,5,35bf4_00000,2025-11-15_01-15-01,93.3330888748169,516.3607285022736,22036,LAPTOP-2DUVSE15,127.0.0.1,516.3607285022736,5
0.72259,0.70063,0.7719,0.64134,0.73361,1.28438,1.07247,6,1763187394,,False,6,35bf4_00000,2025-11-15_01-16-34,93.6694712638855,610.0301997661591,22036,LAPTOP-2DUVSE15,127.0.0.1,610.0301997661591,6
0.7655,0.69849,0.78917,0.64814,0.74302,1.13316,1.06047,7,1763187488,,False,7,35bf4_00000,2025-11-15_01-18-08,93.87493753433228,703.9051373004913,22036,LAPTOP-2DUVSE15,127.0.0.1,703.9051373004913,7
0.78969,0.70404,0.7872,0.65896,0.70137,1.02683,1.04087,8,1763187582,,False,8,35bf4_00000,2025-11-15_01-19-42,94.19978976249695,798.1049270629883,22036,LAPTOP-2DUVSE15,127.0.0.1,798.1049270629883,8
0.8447,0.74403,0.84143,0.71007,0.68884,0.90104,1.03626,9,1763187677,,False,9,35bf4_00000,2025-11-15_01-21-17,94.20204663276672,892.306973695755,22036,LAPTOP-2DUVSE15,127.0.0.1,892.306973695755,9
0.8245,0.76257,0.82486,0.68773,0.69575,0.88358,1.0297,10,1763187771,,False,10,35bf4_00000,2025-11-15_01-22-51,94.70727491378784,987.0142486095428,22036,LAPTOP-2DUVSE15,127.0.0.1,987.0142486095428,10
0.86722,0.78912,0.86423,0.72765,0.67101,0.76111,1.02993,11,1763187866,,False,11,35bf4_00000,2025-11-15_01-24-26,95.19966530799866,1082.2139139175415,22036,LAPTOP-2DUVSE15,127.0.0.1,1082.2139139175415,11
0.91057,0.77583,0.87256,0.73923,0.67101,0.73113,1.02149,12,1763187960,,False,12,35bf4_00000,2025-11-15_01-26-00,93.91324234008789,1176.1271562576294,22036,LAPTOP-2DUVSE15,127.0.0.1,1176.1271562576294,12
0.90073,0.77506,0.86982,0.7298,0.68324,0.74294,1.03779,13,1763188055,,False,13,35bf4_00000,2025-11-15_01-27-35,94.9293966293335,1271.056552886963,22036,LAPTOP-2DUVSE15,127.0.0.1,1271.056552886963,13
0.92036,0.80907,0.88784,0.74903,0.66632,0.65052,1.01245,14,1763188150,,False,14,35bf4_00000,2025-11-15_01-29-10,94.8987340927124,1365.9552869796753,22036,LAPTOP-2DUVSE15,127.0.0.1,1365.9552869796753,14
0.93732,0.79104,0.87935,0.74721,0.68072,0.67796,1.03978,15,1763188244,,False,15,35bf4_00000,2025-11-15_01-30-44,93.88056468963623,1459.8358516693115,22036,LAPTOP-2DUVSE15,127.0.0.1,1459.8358516693115,15
