metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.22226,0.49527,0.28523,0.22675,0.81393,3.73132,1.17663,1,1763541062,,False,1,35bf4_00007,2025-11-19_03-31-02,173.30563354492188,173.30563354492188,11864,LAPTOP-2DUVSE15,127.0.0.1,173.30563354492188,1
0.32378,0.49751,0.38046,0.30325,0.75738,2.84485,1.09628,2,1763541184,,False,2,35bf4_00007,2025-11-19_03-33-04,121.92627096176147,295.23190450668335,11864,LAPTOP-2DUVSE15,127.0.0.1,295.23190450668335,2
0.50006,0.55467,0.53511,0.43853,0.77059,2.3202,1.11317,3,1763541307,,False,3,35bf4_00007,2025-11-19_03-35-07,122.36000108718872,417.59190559387207,11864,LAPTOP-2DUVSE15,127.0.0.1,417.59190559387207,3
0.59175,0.63284,0.64719,0.52677,0.78555,1.76625,1.1005,4,1763541429,,False,4,35bf4_00007,2025-11-19_03-37-09,122.35930943489075,539.9512150287628,11864,LAPTOP-2DUVSE15,127.0.0.1,539.9512150287628,4
0.82864,0.58604,0.69809,0.57527,0.7451,1.38758,1.06124,5,1763541550,,False,5,35bf4_00007,2025-11-19_03-39-10,121.04756259918213,660.998777627945,11864,LAPTOP-2DUVSE15,127.0.0.1,660.998777627945,5
0.6926,0.71875,0.77591,0.64842,0.71477,1.23258,1.0534,6,1763541672,,False,6,35bf4_00007,2025-11-19_03-41-12,121.94784832000732,782.9466259479523,11864,LAPTOP-2DUVSE15,127.0.0.1,782.9466259479523,6
0.83439,0.70606,0.81323,0.68475,0.69709,1.04943,1.04341,7,1763541794,,False,7,35bf4_00007,2025-11-19_03-43-14,122.20825505256653,905.1548810005188,11864,LAPTOP-2DUVSE15,127.0.0.1,905.1548810005188,7
0.87988,0.71773,0.82272,0.69149,0.67761,0.96343,1.02208,8,1763541916,,False,8,35bf4_00007,2025-11-19_03-45-16,121.8046989440918,1026.9595799446106,11864,LAPTOP-2DUVSE15,127.0.0.1,1026.9595799446106,8
0.87012,0.76169,0.85234,0.71463,0.69134,0.87711,1.04118,9,1763542038,,False,9,35bf4_00007,2025-11-19_03-47-18,122.0833387374878,1149.0429186820984,11864,LAPTOP-2DUVSE15,127.0.0.1,1149.0429186820984,9
0.85518,0.76681,0.84373,0.71043,0.68027,0.80843,1.02834,10,1763542160,,True,10,35bf4_00007,2025-11-19_03-49-20,122.02571439743042,1271.0686330795288,11864,LAPTOP-2DUVSE15,127.0.0.1,1271.0686330795288,10
