metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.20452,0.39506,0.23219,0.18452,0.8062,3.65923,1.12678,1,1763532014,,False,1,35bf4_00006,2025-11-19_01-00-14,171.0716016292572,171.0716016292572,20044,LAPTOP-2DUVSE15,127.0.0.1,171.0716016292572,1
0.31557,0.43937,0.33738,0.26302,0.79653,2.96117,1.12163,2,1763532131,,False,2,35bf4_00006,2025-11-19_01-02-11,116.30447840690613,287.37608003616333,20044,LAPTOP-2DUVSE15,127.0.0.1,287.37608003616333,2
0.50474,0.4471,0.46552,0.38238,0.74496,2.47429,1.07467,3,1763532245,,False,3,35bf4_00006,2025-11-19_01-04-05,113.79755473136902,401.17363476753235,20044,LAPTOP-2DUVSE15,127.0.0.1,401.17363476753235,3
0.60463,0.6182,0.65749,0.54583,0.72951,1.85958,1.07475,4,1763532359,,False,4,35bf4_00006,2025-11-19_01-05-59,114.60234713554382,515.7759819030762,20044,LAPTOP-2DUVSE15,127.0.0.1,515.7759819030762,4
0.66103,0.60541,0.68565,0.56567,0.73781,1.58217,1.06725,5,1763532473,,False,5,35bf4_00006,2025-11-19_01-07-53,114.24081873893738,630.0168006420135,20044,LAPTOP-2DUVSE15,127.0.0.1,630.0168006420135,5
0.77254,0.71465,0.80183,0.6698,0.70412,1.21099,1.03379,6,1763532588,,False,6,35bf4_00006,2025-11-19_01-09-48,114.15549445152283,744.1722950935364,20044,LAPTOP-2DUVSE15,127.0.0.1,744.1722950935364,6
0.80998,0.72133,0.82414,0.68916,0.69373,1.1058,1.03346,7,1763532703,,False,7,35bf4_00006,2025-11-19_01-11-43,115.34046769142151,859.5127627849579,20044,LAPTOP-2DUVSE15,127.0.0.1,859.5127627849579,7
0.82373,0.73463,0.81797,0.67965,0.7104,1.00083,1.06714,8,1763532818,,False,8,35bf4_00006,2025-11-19_01-13-38,114.90070009231567,974.4134628772736,20044,LAPTOP-2DUVSE15,127.0.0.1,974.4134628772736,8
0.88317,0.71467,0.83359,0.70016,0.69351,0.96207,1.04478,9,1763532933,,False,9,35bf4_00006,2025-11-19_01-15-33,115.13118743896484,1089.5446503162384,20044,LAPTOP-2DUVSE15,127.0.0.1,1089.5446503162384,9
0.86593,0.75722,0.856,0.71439,0.68354,0.86752,1.01994,10,1763533048,,False,10,35bf4_00006,2025-11-19_01-17-28,115.2669129371643,1204.8115632534027,20044,LAPTOP-2DUVSE15,127.0.0.1,1204.8115632534027,10
0.89825,0.81504,0.88184,0.74449,0.66978,0.74825,1.01293,11,1763533164,,False,11,35bf4_00006,2025-11-19_01-19-24,115.51130437850952,1320.3228676319122,20044,LAPTOP-2DUVSE15,127.0.0.1,1320.3228676319122,11
0.89306,0.79435,0.87775,0.73856,0.66636,0.74446,1.00679,12,1763533279,,False,12,35bf4_00006,2025-11-19_01-21-19,114.93023180961609,1435.2530994415283,20044,LAPTOP-2DUVSE15,127.0.0.1,1435.2530994415283,12
0.91903,0.78904,0.87886,0.74357,0.66744,0.71251,1.01872,13,1763533393,,False,13,35bf4_00006,2025-11-19_01-23-13,114.81908321380615,1550.0721826553345,20044,LAPTOP-2DUVSE15,127.0.0.1,1550.0721826553345,13
0.91069,0.81025,0.88626,0.75513,0.65034,0.68665,1.001,14,1763533508,,False,14,35bf4_00006,2025-11-19_01-25-08,114.67909383773804,1664.7512764930725,20044,LAPTOP-2DUVSE15,127.0.0.1,1664.7512764930725,14
0.90283,0.81353,0.90072,0.76549,0.64077,0.64678,0.98481,15,1763533622,,False,15,35bf4_00006,2025-11-19_01-27-02,114.154052734375,1778.9053292274475,20044,LAPTOP-2DUVSE15,127.0.0.1,1778.9053292274475,15
0.92181,0.8257,0.90682,0.7705,0.63787,0.62064,0.9815,16,1763533737,,False,16,35bf4_00006,2025-11-19_01-28-57,114.86193370819092,1893.7672629356384,20044,LAPTOP-2DUVSE15,127.0.0.1,1893.7672629356384,16
0.92332,0.84168,0.91733,0.77414,0.64257,0.58178,0.99125,17,1763533852,,False,17,35bf4_00006,2025-11-19_01-30-52,115.06995868682861,2008.837221622467,20044,LAPTOP-2DUVSE15,127.0.0.1,2008.837221622467,17
0.95767,0.82452,0.91406,0.77218,0.6499,0.55732,0.99453,18,1763533967,,False,18,35bf4_00006,2025-11-19_01-32-47,114.74230623245239,2123.5795278549194,20044,LAPTOP-2DUVSE15,127.0.0.1,2123.5795278549194,18
0.9227,0.83106,0.91082,0.76443,0.65823,0.57172,1.00636,19,1763534082,,False,19,35bf4_00006,2025-11-19_01-34-42,115.2145516872406,2238.79407954216,20044,LAPTOP-2DUVSE15,127.0.0.1,2238.79407954216,19
0.95291,0.83612,0.92174,0.77805,0.64234,0.56338,0.98962,20,1763534197,,False,20,35bf4_00006,2025-11-19_01-36-37,115.01949524879456,2353.8135747909546,20044,LAPTOP-2DUVSE15,127.0.0.1,2353.8135747909546,20
0.93455,0.82556,0.92315,0.78845,0.61913,0.5518,0.97627,21,1763534312,,False,21,35bf4_00006,2025-11-19_01-38-32,114.58897423744202,2468.4025490283966,20044,LAPTOP-2DUVSE15,127.0.0.1,2468.4025490283966,21
0.93855,0.83663,0.92265,0.78722,0.63339,0.54256,0.98793,22,1763534426,,False,22,35bf4_00006,2025-11-19_01-40-26,114.57018876075745,2582.972737789154,20044,LAPTOP-2DUVSE15,127.0.0.1,2582.972737789154,22
