epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,921.269,0.62665,0.72223,1.00418,0.94799,0.83736,0.92634,0.78534,0.62804,0.46179,1.0004,0.007921,0.007921,0.007921
44,942.687,0.61172,0.71087,1.00332,0.93179,0.84695,0.92354,0.78743,0.61569,0.4696,0.98829,0.0078715,0.0078715,0.0078715
45,964.083,0.61944,0.7315,1.00273,0.9534,0.8518,0.9377,0.79745,0.60765,0.44085,0.98764,0.007822,0.007822,0.007822
46,985.219,0.60737,0.70521,1.00307,0.93278,0.85162,0.92896,0.7917,0.6091,0.46599,0.98655,0.0077725,0.0077725,0.0077725
47,1006.56,0.61317,0.71526,0.99949,0.94093,0.86075,0.93475,0.79466,0.61112,0.46187,0.99383,0.007723,0.007723,0.007723
48,1027.57,0.60501,0.69703,1.00005,0.94009,0.86072,0.93442,0.80209,0.60331,0.45462,0.98341,0.0076735,0.0076735,0.0076735
49,1048.68,0.59952,0.69368,0.99575,0.94565,0.86049,0.94135,0.79507,0.61399,0.44872,0.98938,0.007624,0.007624,0.007624
50,1070.04,0.60831,0.68575,1.00347,0.95454,0.85156,0.93632,0.79975,0.6104,0.43499,0.97771,0.0075745,0.0075745,0.0075745
51,1091.04,0.60092,0.69837,0.99545,0.9415,0.84558,0.92967,0.79216,0.61401,0.4492,0.98603,0.007525,0.007525,0.007525
52,1112.26,0.59382,0.67517,0.9881,0.94842,0.87272,0.94233,0.80065,0.61992,0.43634,0.98203,0.0074755,0.0074755,0.0074755
53,1133.18,0.59043,0.67662,0.99181,0.94584,0.86493,0.93543,0.80424,0.59784,0.41896,0.97932,0.007426,0.007426,0.007426
54,1154.11,0.59502,0.68207,0.99164,0.94852,0.87298,0.94573,0.80748,0.59398,0.41604,0.98052,0.0073765,0.0073765,0.0073765
