epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,3920.85,0.45614,0.40056,0.93106,0.96156,0.92399,0.96654,0.84282,0.55127,0.3029,0.94697,0.0009415,0.0009415,0.0009415
185,3941.88,0.44916,0.3889,0.92846,0.96282,0.92482,0.96648,0.84206,0.55169,0.30253,0.94813,0.000892,0.000892,0.000892
186,3962.92,0.44858,0.39713,0.92623,0.96365,0.92542,0.96636,0.84197,0.55255,0.30302,0.95001,0.0008425,0.0008425,0.0008425
187,3983.75,0.45721,0.39729,0.92667,0.96217,0.92621,0.96636,0.84203,0.55183,0.29911,0.95013,0.000793,0.000793,0.000793
188,4004.56,0.44809,0.39896,0.92864,0.96361,0.92758,0.96686,0.84242,0.55148,0.3001,0.95037,0.0007435,0.0007435,0.0007435
189,4025.57,0.45286,0.39201,0.92333,0.96391,0.92565,0.96737,0.84398,0.55228,0.30029,0.95171,0.000694,0.000694,0.000694
190,4046.82,0.44401,0.39289,0.9291,0.96299,0.92322,0.96807,0.84359,0.55268,0.29981,0.95253,0.0006445,0.0006445,0.0006445
191,4077.35,0.4554,0.26101,0.89379,0.96208,0.92255,0.9676,0.84472,0.55284,0.30029,0.95306,0.000595,0.000595,0.000595
192,4098.23,0.45477,0.26006,0.89574,0.9561,0.92557,0.96753,0.84317,0.5534,0.29953,0.95233,0.0005455,0.0005455,0.0005455
193,4119.06,0.4465,0.25803,0.89113,0.9538,0.92521,0.96711,0.84179,0.55364,0.29853,0.95271,0.000496,0.000496,0.000496
194,4139.94,0.44721,0.25685,0.89018,0.95574,0.92453,0.96692,0.8416,0.55358,0.29828,0.95299,0.0004465,0.0004465,0.0004465
195,4160.83,0.44129,0.2537,0.88514,0.95635,0.92316,0.96793,0.84237,0.55358,0.29735,0.9529,0.000397,0.000397,0.000397
