metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.2193,0.46271,0.27286,0.21783,0.84633,3.55548,1.16312,1,1763196364,,False,1,35bf4_00001,2025-11-15_03-46-04,144.71207857131958,144.71207857131958,4668,LAPTOP-2DUVSE15,127.0.0.1,144.71207857131958,1
0.35889,0.50435,0.37393,0.31445,0.76126,3.00831,1.09562,2,1763196461,,False,2,35bf4_00001,2025-11-15_03-47-41,96.9191358089447,241.63121438026428,4668,LAPTOP-2DUVSE15,127.0.0.1,241.63121438026428,2
0.36341,0.55161,0.46636,0.37491,0.77844,2.34064,1.10891,3,1763196558,,False,3,35bf4_00001,2025-11-15_03-49-18,97.28342604637146,338.91464042663574,4668,LAPTOP-2DUVSE15,127.0.0.1,338.91464042663574,3
0.67051,0.54482,0.62777,0.51824,0.73706,1.80283,1.07446,4,1763196655,,False,4,35bf4_00001,2025-11-15_03-50-55,97.0344603061676,435.94910073280334,4668,LAPTOP-2DUVSE15,127.0.0.1,435.94910073280334,4
0.70143,0.61114,0.71134,0.58444,0.75144,1.48859,1.09728,5,1763196752,,False,5,35bf4_00001,2025-11-15_03-52-32,96.48535251617432,532.4344532489777,4668,LAPTOP-2DUVSE15,127.0.0.1,532.4344532489777,5
0.76095,0.69115,0.77696,0.64429,0.72509,1.23955,1.06898,6,1763196846,,False,6,35bf4_00001,2025-11-15_03-54-06,94.20900821685791,626.6434614658356,4668,LAPTOP-2DUVSE15,127.0.0.1,626.6434614658356,6
0.78428,0.68278,0.783,0.65492,0.72364,1.10443,1.05302,7,1763196941,,False,7,35bf4_00001,2025-11-15_03-55-41,94.78234434127808,721.4258058071136,4668,LAPTOP-2DUVSE15,127.0.0.1,721.4258058071136,7
0.81137,0.73031,0.81464,0.69059,0.68084,0.96778,1.04123,8,1763197033,,False,8,35bf4_00001,2025-11-15_03-57-13,92.6160147190094,814.041820526123,4668,LAPTOP-2DUVSE15,127.0.0.1,814.041820526123,8
0.83957,0.73686,0.82549,0.70146,0.67764,0.90782,1.02979,9,1763197126,,False,9,35bf4_00001,2025-11-15_03-58-46,92.95642328262329,906.9982438087463,4668,LAPTOP-2DUVSE15,127.0.0.1,906.9982438087463,9
0.8245,0.77132,0.85473,0.7265,0.68158,0.84925,1.02237,10,1763197220,,False,10,35bf4_00001,2025-11-15_04-00-20,93.81115412712097,1000.8093979358673,4668,LAPTOP-2DUVSE15,127.0.0.1,1000.8093979358673,10
0.87411,0.78518,0.86973,0.73304,0.68011,0.75439,1.01924,11,1763197314,,False,11,35bf4_00001,2025-11-15_04-01-54,94.25142574310303,1095.0608236789703,4668,LAPTOP-2DUVSE15,127.0.0.1,1095.0608236789703,11
0.86686,0.79289,0.8784,0.73982,0.65372,0.72437,1.01305,12,1763197408,,False,12,35bf4_00001,2025-11-15_04-03-28,94.02554631233215,1189.0863699913025,4668,LAPTOP-2DUVSE15,127.0.0.1,1189.0863699913025,12
0.91729,0.78012,0.87948,0.74403,0.6841,0.71847,1.04559,13,1763197502,,False,13,35bf4_00001,2025-11-15_04-05-02,93.60148739814758,1282.68785738945,4668,LAPTOP-2DUVSE15,127.0.0.1,1282.68785738945,13
0.93692,0.77863,0.89087,0.75589,0.65944,0.67741,1.00864,14,1763197596,,False,14,35bf4_00001,2025-11-15_04-06-36,94.28682851791382,1376.974685907364,4668,LAPTOP-2DUVSE15,127.0.0.1,1376.974685907364,14
0.91577,0.78758,0.87879,0.74124,0.669,0.66939,1.02001,15,1763197690,,False,15,35bf4_00001,2025-11-15_04-08-10,93.9393150806427,1470.9140009880066,4668,LAPTOP-2DUVSE15,127.0.0.1,1470.9140009880066,15
