metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.32758,0.35442,0.27757,0.21675,0.84615,3.44812,1.17536,1,1763206867,,False,1,35bf4_00004,2025-11-15_06-41-07,154.51865148544312,154.51865148544312,4188,LAPTOP-2DUVSE15,127.0.0.1,154.51865148544312,1
0.34282,0.46986,0.38332,0.30191,0.79964,2.83245,1.12703,2,1763206972,,False,2,35bf4_00004,2025-11-15_06-42-52,104.88762378692627,259.4062752723694,4188,LAPTOP-2DUVSE15,127.0.0.1,259.4062752723694,2
0.45762,0.57886,0.49594,0.40417,0.7827,2.53601,1.09701,3,1763207078,,False,3,35bf4_00004,2025-11-15_06-44-38,105.94106936454773,365.3473446369171,4188,LAPTOP-2DUVSE15,127.0.0.1,365.3473446369171,3
0.60617,0.5922,0.61904,0.51641,0.74368,1.89497,1.08135,4,1763207182,,False,4,35bf4_00004,2025-11-15_06-46-22,104.4548134803772,469.8021581172943,4188,LAPTOP-2DUVSE15,127.0.0.1,469.8021581172943,4
0.72123,0.58962,0.67774,0.5622,0.77134,1.52745,1.07202,5,1763207287,,False,5,35bf4_00004,2025-11-15_06-48-07,104.80706000328064,574.609218120575,4188,LAPTOP-2DUVSE15,127.0.0.1,574.609218120575,5
0.80954,0.63782,0.74582,0.61667,0.74481,1.30988,1.07571,6,1763207391,,False,6,35bf4_00004,2025-11-15_06-49-51,104.26346516609192,678.8726832866669,4188,LAPTOP-2DUVSE15,127.0.0.1,678.8726832866669,6
0.78088,0.71128,0.79771,0.6707,0.71192,1.05529,1.03534,7,1763207496,,False,7,35bf4_00004,2025-11-15_06-51-36,104.47640204429626,783.3490853309631,4188,LAPTOP-2DUVSE15,127.0.0.1,783.3490853309631,7
0.83347,0.74902,0.83116,0.69624,0.72123,0.98848,1.04771,8,1763207601,,False,8,35bf4_00004,2025-11-15_06-53-21,104.73546528816223,888.0845506191254,4188,LAPTOP-2DUVSE15,127.0.0.1,888.0845506191254,8
0.87743,0.75107,0.85047,0.71473,0.71811,0.8915,1.04333,9,1763207705,,False,9,35bf4_00004,2025-11-15_06-55-05,104.67443656921387,992.7589871883392,4188,LAPTOP-2DUVSE15,127.0.0.1,992.7589871883392,9
0.85957,0.75205,0.84896,0.71787,0.68433,0.8788,1.01528,10,1763207809,,True,10,35bf4_00004,2025-11-15_06-56-49,103.84196782112122,1096.6009550094604,4188,LAPTOP-2DUVSE15,127.0.0.1,1096.6009550094604,10
