metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.23343,0.29408,0.23241,0.17955,0.88804,3.6608,1.22664,1,1763207982,,False,1,35bf4_00005,2025-11-15_06-59-42,170.0188901424408,170.0188901424408,21184,LAPTOP-2DUVSE15,127.0.0.1,170.0188901424408,1
0.27265,0.48697,0.32589,0.2583,0.7647,2.80969,1.08312,2,1763208099,,False,2,35bf4_00005,2025-11-15_07-01-39,117.11672854423523,287.135618686676,21184,LAPTOP-2DUVSE15,127.0.0.1,287.135618686676,2
0.32627,0.47136,0.38834,0.3178,0.78059,2.51867,1.08591,3,1763208219,,False,3,35bf4_00005,2025-11-15_07-03-39,119.4146978855133,406.55031657218933,21184,LAPTOP-2DUVSE15,127.0.0.1,406.55031657218933,3
0.45421,0.5999,0.5422,0.44643,0.7485,2.06677,1.07344,4,1763208339,,False,4,35bf4_00005,2025-11-15_07-05-39,119.71779727935791,526.2681138515472,21184,LAPTOP-2DUVSE15,127.0.0.1,526.2681138515472,4
0.62538,0.62281,0.65294,0.53378,0.75945,1.55986,1.10526,5,1763208458,,False,5,35bf4_00005,2025-11-15_07-07-38,119.01536083221436,645.2834746837616,21184,LAPTOP-2DUVSE15,127.0.0.1,645.2834746837616,5
0.7428,0.67124,0.73819,0.62219,0.70143,1.28223,1.04912,6,1763208576,,False,6,35bf4_00005,2025-11-15_07-09-36,117.85860061645508,763.1420753002167,21184,LAPTOP-2DUVSE15,127.0.0.1,763.1420753002167,6
0.83075,0.65848,0.77014,0.63644,0.72365,1.16694,1.07555,7,1763208693,,False,7,35bf4_00005,2025-11-15_07-11-33,117.56599164009094,880.7080669403076,21184,LAPTOP-2DUVSE15,127.0.0.1,880.7080669403076,7
0.82357,0.71692,0.80262,0.66794,0.71365,1.0906,1.05215,8,1763208811,,False,8,35bf4_00005,2025-11-15_07-13-31,118.2235586643219,998.9316256046295,21184,LAPTOP-2DUVSE15,127.0.0.1,998.9316256046295,8
0.81755,0.75442,0.838,0.71045,0.69946,0.9238,1.05321,9,1763208930,,False,9,35bf4_00005,2025-11-15_07-15-30,118.57406187057495,1117.5056874752045,21184,LAPTOP-2DUVSE15,127.0.0.1,1117.5056874752045,9
0.7786,0.73005,0.80658,0.66647,0.70385,0.97563,1.03747,10,1763209045,,True,10,35bf4_00005,2025-11-15_07-17-25,115.25271439552307,1232.7584018707275,21184,LAPTOP-2DUVSE15,127.0.0.1,1232.7584018707275,10
